Image Name, Detector, Descriptor, TTC Camera, TTC LIDAR
0006, HARRIS, ORB, 14.9633, 13.7511
0007, HARRIS, ORB, 12.2792, 13.7314
0008, HARRIS, ORB, 13.5704, 13.7901
0009, HARRIS, ORB, nan, 12.059
0010, HARRIS, ORB, -inf, 11.8642
0011, HARRIS, ORB, nan, 11.9682
0012, HARRIS, ORB, 23.9071, 9.88711
0013, HARRIS, ORB, 13.4095, 9.42504
0014, HARRIS, ORB, 5.85828, 9.30215
0015, HARRIS, ORB, nan, 8.3212
0016, HARRIS, ORB, 6.48965, 8.89867
0017, HARRIS, ORB, nan, 11.0301
0018, HARRIS, ORB, nan, 8.53557

0000, HARRIS, FREAK, 
0001, HARRIS, FREAK, nan, 12.2891
0002, HARRIS, FREAK, nan, 13.3547
0003, HARRIS, FREAK, nan, 16.3845
0004, HARRIS, FREAK, 12.629, 14.0764
0005, HARRIS, FREAK, 39.584, 12.7299
0006, HARRIS, FREAK, 39.584, 13.7511
0007, HARRIS, FREAK, 11.0924, 13.7314
0008, HARRIS, FREAK, 11.9718, 13.7901
0009, HARRIS, FREAK, nan, 12.059
0010, HARRIS, FREAK, 20.5862, 11.8642
0011, HARRIS, FREAK, nan, 11.9682
0012, HARRIS, FREAK, 5.05076, 9.88711
0013, HARRIS, FREAK, nan, 9.42504
0014, HARRIS, FREAK, nan, 9.30215
0015, HARRIS, FREAK, nan, 8.3212
0016, HARRIS, FREAK, 8.86241, 8.89867
0017, HARRIS, FREAK, nan, 11.0301
0018, HARRIS, FREAK, nan, 8.53557

0000, FAST, BRISK, 
0001, FAST, BRISK, 13.312, 12.2891
0002, FAST, BRISK, 12.2924, 13.3547
0003, FAST, BRISK, 13.2623, 16.3845
0004, FAST, BRISK, 12.9267, 14.0764
0005, FAST, BRISK, 11.4706, 12.7299
0006, FAST, BRISK, 12.1702, 13.7511
0007, FAST, BRISK, 13.1437, 13.7314
0008, FAST, BRISK, 11.0411, 13.7901
0009, FAST, BRISK, 13.2623, 12.059
0010, FAST, BRISK, 11.761, 11.8642
0011, FAST, BRISK, 12.0883, 11.9682
0012, FAST, BRISK, 12.5958, 9.88711
0013, FAST, BRISK, 12.7071, 9.42504
